id,type,filename,path,title
A-0001,A,A-0001_complex_sales_differ_from_simple_sales.md,03_knowledge_base/assumptions/A-0001_complex_sales_differ_from_simple_sales.md,A-0001 — Komplexe Verkäufe unterscheiden sich von einfachen Verkäufen
A-0002,A,A-0002_sales_behavior_is_observable_and_codeable.md,03_knowledge_base/assumptions/A-0002_sales_behavior_is_observable_and_codeable.md,"A-0002 — Verkaufsverhalten ist beobachtbar, kategorisierbar und mit Ergebnissen korrelierbar"
A-0003,A,A-0003_purchase_decision_requires_solution_urgency.md,03_knowledge_base/assumptions/A-0003_purchase_decision_requires_solution_urgency.md,"A-0003 — Kaufentscheidungen entstehen nicht durch Problembewusstsein allein, sondern durch wahrgenommene Lösungsdringlichkeit"
A-0004,A,A-0004_buyer_stated_needs_stronger_than_seller_observed.md,03_knowledge_base/assumptions/A-0004_buyer_stated_needs_stronger_than_seller_observed.md,A-0004 — Explizite Bedarfsformulierung durch den Käufer ist handlungsauslösender als Bedarfserkenntnis beim Verkäufer
A-0005,A,A-0005_cognitive_capacity_limited_heuristics_necessary.md,03_knowledge_base/assumptions/A-0005_cognitive_capacity_limited_heuristics_necessary.md,A-0005 — Kognitive Kapazität ist begrenzt: Heuristiken sind adaptive Notwendigkeit
A-0006,A,A-0006_compliance_triggered_by_single_features_automatically.md,03_knowledge_base/assumptions/A-0006_compliance_triggered_by_single_features_automatically.md,A-0006 — Compliance-Reaktionen werden durch Einzelmerkmale automatisch ausgelöst
A-0007,A,A-0007_compliance_principles_evolutionarily_anchored.md,03_knowledge_base/assumptions/A-0007_compliance_principles_evolutionarily_anchored.md,A-0007 — Die sechs Prinzipien sind evolutionär und kulturell verankert — keine willkürlichen Konventionen
A-0008,A,A-0008_perception_of_value_is_relative_not_absolute.md,03_knowledge_base/assumptions/A-0008_perception_of_value_is_relative_not_absolute.md,"A-0008 — Wahrnehmung von Wert, Qualität und Status ist relativ — abhängig von Referenzpunkten"
A-0009,A,A-0009_commitment_changes_self_image_creates_consistency_pressure.md,03_knowledge_base/assumptions/A-0009_commitment_changes_self_image_creates_consistency_pressure.md,A-0009 — Commitment verändert das Selbstbild und erzeugt automatischen Konsistenzdruck
A-0010,A,A-0010_social_signals_transfer_to_nonsocial_judgments.md,03_knowledge_base/assumptions/A-0010_social_signals_transfer_to_nonsocial_judgments.md,A-0010 — Soziale Signale übertragen sich auf nicht-soziale Urteile
