source_id,source_type,target_id,target_type,declared_in,line_number
A-0002,A,MOD-0001,MOD,03_knowledge_base/assumptions/A-0002_sales_behavior_is_observable_and_codeable.md,21
A-0003,A,MOD-0001,MOD,03_knowledge_base/assumptions/A-0003_purchase_decision_requires_solution_urgency.md,23
A-0003,A,P-0004,P,03_knowledge_base/assumptions/A-0003_purchase_decision_requires_solution_urgency.md,28
A-0004,A,MOD-0001,MOD,03_knowledge_base/assumptions/A-0004_buyer_stated_needs_stronger_than_seller_observed.md,23
A-0004,A,P-0001,P,03_knowledge_base/assumptions/A-0004_buyer_stated_needs_stronger_than_seller_observed.md,15
A-0004,A,T-0004,T,03_knowledge_base/assumptions/A-0004_buyer_stated_needs_stronger_than_seller_observed.md,15
A-0005,A,MOD-0002,MOD,03_knowledge_base/assumptions/A-0005_cognitive_capacity_limited_heuristics_necessary.md,32
A-0005,A,ST-0026,ST,03_knowledge_base/assumptions/A-0005_cognitive_capacity_limited_heuristics_necessary.md,23
A-0005,A,ST-0027,ST,03_knowledge_base/assumptions/A-0005_cognitive_capacity_limited_heuristics_necessary.md,24
A-0005,A,ST-0028,ST,03_knowledge_base/assumptions/A-0005_cognitive_capacity_limited_heuristics_necessary.md,25
A-0005,A,ST-0029,ST,03_knowledge_base/assumptions/A-0005_cognitive_capacity_limited_heuristics_necessary.md,26
A-0005,A,ST-0031,ST,03_knowledge_base/assumptions/A-0005_cognitive_capacity_limited_heuristics_necessary.md,27
A-0005,A,ST-0049,ST,03_knowledge_base/assumptions/A-0005_cognitive_capacity_limited_heuristics_necessary.md,28
A-0006,A,A-0005,A,03_knowledge_base/assumptions/A-0006_compliance_triggered_by_single_features_automatically.md,54
A-0006,A,MOD-0002,MOD,03_knowledge_base/assumptions/A-0006_compliance_triggered_by_single_features_automatically.md,35
A-0006,A,ST-0027,ST,03_knowledge_base/assumptions/A-0006_compliance_triggered_by_single_features_automatically.md,23
A-0006,A,ST-0028,ST,03_knowledge_base/assumptions/A-0006_compliance_triggered_by_single_features_automatically.md,24
A-0006,A,ST-0029,ST,03_knowledge_base/assumptions/A-0006_compliance_triggered_by_single_features_automatically.md,25
A-0006,A,ST-0033,ST,03_knowledge_base/assumptions/A-0006_compliance_triggered_by_single_features_automatically.md,26
A-0006,A,ST-0035,ST,03_knowledge_base/assumptions/A-0006_compliance_triggered_by_single_features_automatically.md,27
A-0006,A,ST-0037,ST,03_knowledge_base/assumptions/A-0006_compliance_triggered_by_single_features_automatically.md,28
A-0006,A,ST-0041,ST,03_knowledge_base/assumptions/A-0006_compliance_triggered_by_single_features_automatically.md,29
A-0006,A,ST-0045,ST,03_knowledge_base/assumptions/A-0006_compliance_triggered_by_single_features_automatically.md,30
A-0006,A,ST-0047,ST,03_knowledge_base/assumptions/A-0006_compliance_triggered_by_single_features_automatically.md,31
A-0007,A,MOD-0002,MOD,03_knowledge_base/assumptions/A-0007_compliance_principles_evolutionarily_anchored.md,29
A-0007,A,ST-0024,ST,03_knowledge_base/assumptions/A-0007_compliance_principles_evolutionarily_anchored.md,23
A-0007,A,ST-0033,ST,03_knowledge_base/assumptions/A-0007_compliance_principles_evolutionarily_anchored.md,24
A-0007,A,ST-0045,ST,03_knowledge_base/assumptions/A-0007_compliance_principles_evolutionarily_anchored.md,25
A-0008,A,A-0052,A,03_knowledge_base/assumptions/A-0008_perception_of_value_is_relative_not_absolute.md,67
A-0008,A,MEC-0018,MEC,03_knowledge_base/assumptions/A-0008_perception_of_value_is_relative_not_absolute.md,71
A-0008,A,MOD-0002,MOD,03_knowledge_base/assumptions/A-0008_perception_of_value_is_relative_not_absolute.md,31
A-0008,A,ST-0028,ST,03_knowledge_base/assumptions/A-0008_perception_of_value_is_relative_not_absolute.md,23
A-0008,A,ST-0030,ST,03_knowledge_base/assumptions/A-0008_perception_of_value_is_relative_not_absolute.md,24
A-0008,A,ST-0036,ST,03_knowledge_base/assumptions/A-0008_perception_of_value_is_relative_not_absolute.md,25
A-0008,A,ST-0046,ST,03_knowledge_base/assumptions/A-0008_perception_of_value_is_relative_not_absolute.md,26
A-0008,A,ST-0047,ST,03_knowledge_base/assumptions/A-0008_perception_of_value_is_relative_not_absolute.md,27
A-0008,A,ST-0238,ST,03_knowledge_base/assumptions/A-0008_perception_of_value_is_relative_not_absolute.md,63
A-0008,A,ST-0239,ST,03_knowledge_base/assumptions/A-0008_perception_of_value_is_relative_not_absolute.md,65
A-0009,A,MEC-0001,MEC,03_knowledge_base/assumptions/A-0009_commitment_changes_self_image_creates_consistency_pressure.md,34
A-0009,A,MOD-0002,MOD,03_knowledge_base/assumptions/A-0009_commitment_changes_self_image_creates_consistency_pressure.md,33
A-0009,A,ST-0037,ST,03_knowledge_base/assumptions/A-0009_commitment_changes_self_image_creates_consistency_pressure.md,26
A-0009,A,ST-0038,ST,03_knowledge_base/assumptions/A-0009_commitment_changes_self_image_creates_consistency_pressure.md,27
A-0009,A,ST-0039,ST,03_knowledge_base/assumptions/A-0009_commitment_changes_self_image_creates_consistency_pressure.md,28
A-0009,A,ST-0040,ST,03_knowledge_base/assumptions/A-0009_commitment_changes_self_image_creates_consistency_pressure.md,29
A-0010,A,MOD-0002,MOD,03_knowledge_base/assumptions/A-0010_social_signals_transfer_to_nonsocial_judgments.md,37
A-0010,A,ST-0041,ST,03_knowledge_base/assumptions/A-0010_social_signals_transfer_to_nonsocial_judgments.md,28
A-0010,A,ST-0042,ST,03_knowledge_base/assumptions/A-0010_social_signals_transfer_to_nonsocial_judgments.md,29
A-0010,A,ST-0043,ST,03_knowledge_base/assumptions/A-0010_social_signals_transfer_to_nonsocial_judgments.md,30
A-0010,A,ST-0044,ST,03_knowledge_base/assumptions/A-0010_social_signals_transfer_to_nonsocial_judgments.md,31
